review_id,review_date,user,location,review_text
,,,,"
"
1,October 2023,triciaburda,,"Went to Vegas for Halloween
Went to Vegas for Halloween and got married. It was one of my favorite vacations. The view was amazing, we got to watch the sunrise everyday. The employees at the steakhouse were amazing. We had our dinner there after our wedding. I can’t wait to come back.

"
2,August 2022,Ron K,,"MGM Grand is the best Hotel on the strip IMHO
MGM is very clean hotel with very friendly staff, the best restaurants, great shows, lots of slot machines, great walking location to New York New York, Excalibur, Luxor, and Mandalay Bay. My wife and I love the easy walk and experience through the shops and casinos to all the aforementioned hotels. It is also a stop on the Monorail route, which is a good way to visit other casinos on the strip. We've stayed at other hotels but MGM Grand is now the only place we stay when visiting Las Vegas.

"
3,October 2023,jeremya842023,,"Dirty rooms
The room had empty nut shells on the floor and the bathtub was full of hair and scum. I let it go the first night and politely informed housekeeping the next day instead of calling the desk and getting someone in trouble. Then after returning to my room after cleaning services the second day the bathtub was still disgusting and there were still empty nut shells on the floor. Also the entire resort smells heavily of cigarette smoke and/or perfume to try and cover the smell. I have stayed in other resorts in Las Vegas as I am there every year at this time and this stay was by far the worst that I have ever had.

"
4,November 2023,alY4645OQ,,"Terrible air quality, small fees everywhere
In room water - $25 per bottle.
ATM withdrawal fee - $9.99
Resort fee - $33
Air quality--crap.
Just charging for everything, on top of $300 a night (special business rate). Everything is old in terms of infrastructure.

"
5,October 2023,jmcqueen990,,"Decent property just not during business week
No desk in room to check emails. Internet horrible. Fine for a family stay in Vegas, just not for me to have my company there during the week for a convention like SEMA. The food and restaurants were nice.

"
6,November 2023,Asamo B,,"Do Not Stay Here
the staff was very awesome but to charge money and put a guest in room 22nd floor 222 is a criminal charge no fridge no microwave no coffee no pool no gym after 6 is stupid the tv is horrible and don't work the hotel makes too much money to not afford upkeep on tv the furniture is as old as the mob movies filmed out here so sad they need to be shut down and re opened after a huge update and renovation.

"
7,October 2023,Csinh301,,"5 star
Rooms are clean, toilet paper kinda thin, room temps ok, view ok, good place to sleep. Thumbs up.Table minimums were too high. Windows green. Tiesto gone. Sad. Sema convention inflation. Not a fan. Monorail super busy.

"
8,November 2023,marktB2974UB,,"MGM Room fail
Room was a huge let down..dirty carpet, aged and old wallpaper and furniture. 3 chairs, 2 dirty and 1 torn up and ripped. The shower curtail was ripped up. Ther is no fridge to use, no microwave(that's OK, but no fridge??? Really??) Just a poor experience. When you go on a trip, you look forward to resting in some luxurys..this had me feeling like I was in a motel.

"
9,October 2023,aroach815,,"MGM GRAND SERVICE/STAFF TOP NOTCH
Front desk clerk and housekeeping staff always courteous and goes beyond with great customer service! MGM has a monorail station which makes it so convenient to explore the strip! I wish there were more non-smoking areas for the casino floor.

"
10,November 2023,mikeO751YQ,,"It was OK
Place was great, the room was not. TV worked part time and we were put in the worst room in the place. When I come to Vegas I spend a lot on gambling and expect a great room. I’ll be back but next time will insist on better room

"
11,October 2023,andyC2624ZE,,"Just Fair
The hotel felt old, smoke eaters in the casino were not effective - By the time I walked from desk to my room - my clothes smelled of smoke. Bathroom sink was not attached and bounced around when you used it. I have traveled all my business career - experience was just blaw - and if I can't put anything in the fridge of my own leftovers from your restaurants without a charge - just not good at all. I did like you were on the monorail. .

"
12,November 2023,mannyc1172023,,"Average stay at best
We came on a package to see the usher concert. It was a two day stay so we werent in the room for long periods of time. Room was dirty and smelled like smoke. The fridge was packed with overpriced useless items that i ended up being charged for because they shifted from their sensors

"
13,November 2023,jeffhansen10,,"If you need internet, consider an alternative
The property is what you would expect from a casino unless you have a need for an internet connection. If it important to you or your stay, consider an alternative to this location. If that’s not possible, make sure to confirm your room has reliable connection. The TV wouldn’t even play without buffering. 90’s dial up was faster (when you could actually connect)

"
14,November 2023,DruWright666,,"Just Okay
My recent stay at the MGM Grand left me with a mix of impressions. The hotel's location, while not exceptional, was decent, and the staff demonstrated friendliness and a willingness to accommodate guests, leaving an overall satisfactory impression. However, my experience was marred by several disappointments related to the room.

The most significant issue was the room's darkness. Despite multiple light fixtures, the lighting was consistently dim, making it challenging to comfortably use the room. This deficiency was particularly frustrating during the day when proper lighting should be a given.

The bed was another letdown. Its discomfort impacted the quality of my sleep significantly. The mattress appeared well-worn,
and with only a thin blanket and sheet, I often felt cold during the night. The pillows, too, were subpar, offering minimal support and resulting in waking up with a sore back each morning.

On a more positive note, the room was consistently clean, and the amenities provided were satisfactory. The bathroom was well-maintained, and the housekeeping staff delivered their services efficiently.

While the MGM possessed certain merits, the persistent issues with the room's darkness and the uncomfortable bed overshadowed the positive aspects of my stay. I sincerely hope that the hotel takes measures to address these concerns in the future to enhance the comfort and quality of their rooms.

"
15,October 2023,Tour813888,,"Excellent Hotel, Convenient Location
I was there for a convention. Rooms were clean and the beds were extremely comfortable. Nice having the monorail right there too. Plenty of dining options and certainly plenty to do. The hotel is kept immaculate and looks like new.

"
16,October 2023,treyeliteauto,,"Our stay
Rooms were over priced for the condition. Furniture was old & beat up. Master bathroom shower the handle was broke and kept falling off. The water temperature was either ice cold or scorching hot. The casino was nice but other casinos have a lot more to offer.

"
17,November 2023,ANuminousOne,,"Issues aplenty, poor response from most staff. Find somewhere else to stay on the strip.
Where to start? I originally had a reservation in another property and cancelled to stay at the MGM Grand specifically because of its pools and lazy river. Bad move on my part.

1) No hot water first day of our stay. Cold shower isn’t a great start.
2) Changed plans and instead of going to Zion, we opted to stay near the hotel specifically to go to pools and lazy river (reason we chose MGM). Found all but 1 pool closed. No notification when we booked. Major disappointment for the kids. As an aside, I e never seen a Vegas pool with less vibe. 77° out, perfect pool weather, tons of people out crowded around the one pool. No music. No beverage service. No vibe at all.
3) Went back to room to clean up before we made new plans. Now hot water wasn’t a problem because this time we had no water at all. Was told that I should have been notified about a water shutoff. Wasn’t notified about that either.
4) Woken up at 2:30AM by a loud noise (sounded like a water pipe pressure issue to me), called front desk and was told another guest had complained about a “drilling sound” and they would send security to investigate. Noise finally stopped at 3:03AM.
5) Noise returned around 3:30AM and continued after I mercifully fell asleep around 4AM.
6) Spoke with a really nice person at the front desk on checkout. All that was offered though was to remove the $39 “resort fee”, kind but IMO hardly representative of all the issues we had.

While not the end of the world, this was by far one of the worst hotel stays I’ve ever had. Issues happen, I get it. But when there are many other options for hotels, response and service is key. Vegas is all about catering to the guest. It’s was the response of most of the hotel staff (or lack thereof) that was so disappointing. I am going to try to reach out to management on Monday to give them the chance to make this right, but there are lots of other non-MGM properties in the strip. As of now, I’ll be searching out other options.

"
